poste,lieu,entreprise,salaire,note,description
Serveur/Serveuse polyvalent(e),Grospierres,Groupe Restoleil,2 k € (fourni par l’employeur),"4,5","Accueillir et installer les clients avec le sourire. Salaire de 1900 à 2000e net mensuel selon expérience. Servir les plats et boissons de manière efficace et…&hellip;
Compétences: Service, Service client"
Alternant conducteur de ligne de formulation (H/F),Aigues-Vives,Syngenta Crop Protection,Non renseigné,"4,1","Des connaissances en automatisme seraient un plus. Mise en route des installations. Utilisation du système de pilotage des installations.&hellip;
Compétences: Sens de l'organisation, Securité, Bureautique"
Analyste DSIS,Créteil,Valeo,Non renseigné,"3,9","Il/elle sera responsable de la vision dans son domaine ( CFD ), de la définition, de l’évaluation et de l’harmonisation des solutions avec les disciplines de…&hellip;
Compétences: Scripting, Python"
Shopper - Moissy-Cramayel,Moissy-Cramayel,Picnic,"12,05 € Par heure (fourni par l’employeur)","3,3",Travailler dans différentes zones de l’entrepôt : ambiante ou réfrigérée (nous te fournissons l’équipement nécessaire pour le froid). Tu as au moins 18 ans.&hellip;
Téléconseiller (H/F),Sainte-Geneviève,ALCOPA AUCTION,2 k € (fourni par l’employeur),"4,0","Formuler une réponse adaptée au client (BtoB et BtoC) ; Gestion du planning de rendez-vous ; Pointage et rapprochement des encaissement ;&hellip;
Compétences: Sens de l'organisation, Bureautique"
Coiffeuse CDI H/F,Mauguio,Lezhair hand Co,2 k € (fourni par l’employeur),Non noté,"De solides compétences en service client et en communication. Gérer la réception et organiser le planning des rendez-vous. Type d'emploi : Temps plein.&hellip;
Compétences: Service client, Coiffure, Mathématiques commerciales, Services aux visiteurs, Compétences en communication"
Directeur(trice) de Magasin Outlet Corbeil Essonnes,Corbeil-Essonnes,Maisons Du Monde,Non renseigné,"3,4","Durable, car engagés dans des causes environnementales et citoyennes, nous prônons l’égalité des chances et le développement de chacun à l'ouverture au monde.&hellip;
Compétences: Service client, Gestion de point de vente, Gestion de vente au détail"
After school Nanny in english (M/F),Saint-Maur,Momji,Non renseigné,"3,9","No minimum level of French required,. Pick up the children from school. Previous experience with children required (formal or informal),.&hellip;
Compétences: Anglais"
Plombier H/F,Bordeaux,Selfcity,2 k € - 3 k € (fourni par l’employeur),Non noté,"Possibilités d’évoluer rapidement en fonction de l’implication. Dépannages (chasse d'eau, robinetterie, BEC, fuite). Participation aux frais de transport.&hellip;
Compétences: Plomberie, Chauffage, ventilation et climatisation"
contrat d'alternance_Chargé des politiques de services [RATP/RSF/SEM],Paris,RATP EPIC,Non renseigné,"3,8","Pilotage, en liaison avec les différentes parties prenantes au sein de l'entreprise, des évolutions continues et innovations relatives aux métiers d’agents de…&hellip;
Compétences: Microsoft Powerpoint, Service client, Compétences rédactionnelles, Microsoft Office"
Employé polyvalent restauration rapide H/F,Clermont-Ferrand,TASTER Clermont-Ferrand,2 k € (fourni par l’employeur),Non noté,"TASTER est un restaurant Digital (DARK KITCHEN) reconnu pour la qualité de sa cuisine et l'originalité de ses plats. Former et accompagner les futurs entrants,.&hellip;
Compétences: HACCP, Service en restauration, Services aux visiteurs, Restauration"
Coach en investissements et préparation financière,Télétravail,CLCONSEILS CGPM,Non renseigné,Non noté,"Réaliser des rendez-vous en visioconférence ou directement chez les clients. Avec CGPM, vous rejoignez une structure solide, reconnue et respectée par le monde…&hellip;
Compétences: Service client, Expérience administrative, Comptabilité, Sens de l'organisation"
Pâtissier H/F,Heillecourt,FEUILLETTE,2 k € - 3 k € (fourni par l’employeur),"3,0","Sens du service client développé et bonne communication. Nous recherchons un(e) pâtissier(e) passionné(e) pour rejoindre notre équipe dynamique chez FEUILLETTE.&hellip;
Compétences: Manipulation des aliments, Service client, Boulangerie-pâtisserie, Préparation des aliments, Services aux visiteurs"
"Une alternance chez Harry’s Coffee, ça te tente ?",Saint-Ouen,Harry's coffee,Non renseigné,Non noté,"Accueillir chaque client comme un invité spécial, lui transmettre l’esprit Harry’s et partager ta bonne humeur. Tu entres en 1ère année de Master.&hellip;
Compétences: Français, Service, Service client, Expérience de barista, Anglais"
Ouvrière / Ouvrier de Production en Maroquinerie - H/F,Saulieu,Maroquinerie Thomas,Non renseigné,"3,2","Nous avançons ensemble dans la bienveillance pour satisfaire nos clients en gardant à l'esprit que « Seul, on va plus vite ; ensemble, on va plus loin ! ».&hellip;
Compétences: Production"
Télévendeur/Télevendeuse,Servon,SCAL,2 k € (fourni par l’employeur),Non noté,"En collaboration quotidienne avec un ou plusieurs commerciaux, vous serez l’interlocuteur privilégié de clients professionnels de la restauration hors domicile.&hellip;
Compétences: Vente, Service client, Service en restauration, Télémarketing, Italien"
Employé polyvalent en hôtellerie H/F,Porta,SAS Le Lemantic,2 k € (fourni par l’employeur),Non noté,"Remplacement pour le service du restaurant (expérience en salle). Expérience préalable dans le domaine de la restauration est un plus.&hellip;
Compétences: Hôtellerie, Service client, Encaissement, Service en restauration, Sens de l'organisation"
Assistant SIC Aéronautique H/F,Dijon,Armée de l'Air et de l'Espace,2 k € (fourni par l’employeur),"4,1","45 jours de permission par an,75 % de réduction sur les tarifs SNCF pour vous, et jusqu'à 50 % pour votre conjoint et vos enfants,Une solde égale que vous soyez…&hellip;"
Technicien de maintenance H/F,Saint-Loubès,Aquitaine Spécialités,2 k € (fourni par l’employeur),"2,0","Être force de proposition sur l'amélioration continue de votre périmètre. Type d'emploi* : Temps plein, CDI, 35h/semaine en 3x8.&hellip;
Compétences: Fabrication, Mécanique automobile, Expérience en mécanique, Service client, GMAO"
SECRETAIRE MEDICALE CONTRAT PRO,Paris,CENTRE DENTAIRE,Non renseigné,Non noté,"*AUCUNE EXPERIENCE REQUISE*, c'est la personnalité qui compte. Type d'emploi : Temps plein, Apprentissage. Prise en charge du transport quotidien.&hellip;
Compétences: Expérience en cabinet dentaire, Terminologie médicale"
Cuisinier H/F mardi au samedi sans coupure,Cusy,Le Refuge Des Gourmands,2 k € (fourni par l’employeur),Non noté,"Proposer et confectionner des menus du jour du mardi au vendredi (entrées et plats).&hellip;
Compétences: Manipulation des aliments, Traiteur, Préparation culinaires, Préparation des aliments, Sécurité alimentaire"
Stagiaire Projets Développement Durable ( Janvier/mai 2026),Paris,DoWellDoGood,1 k € - 2 k € (fourni par l’employeur),"3,4","Etudiant.e en BAC+5, de formation grandes écoles, écoles d’ingénieur, commerce, master ou équivalent, vous souhaitez vous investir dans un stage riche,…&hellip;
Compétences: Microsoft Powerpoint, Anglais"
Game Master H/F,Paris,BOMB SQUAD PARIS,"14,00 € Par heure (fourni par l’employeur)",Non noté,"Bomb Squad est un nouveau concept de divertissement en plein centre de Paris. Briefing aux joueurs des règles de jeu et scénario.&hellip;
Compétences: Hôtellerie, Expérience en gestion d'équipe, Service client, Expérience de barista, Services aux visiteurs"
Project Assistant Internship – 4 to 6 months H/F,Lyon,YUPULSE,Non renseigné,Non noté,"Adapt communication based on the profile of your interlocutors (international teams, C-level executives). Ability to adapt your communication style depending on…&hellip;
Compétences: Jira, Anglais, Confluence"
OPÉRATEUR RÉSEAU H/F,Dijon,Armée de l'Air et de l'Espace,2 k € (fourni par l’employeur),"4,1","45 jours de permission par an,75% de réduction sur les tarifs SNCF pour vous, et jusqu'à 50% pour votre conjoint et vos enfants,Une solde égale que vous soyez…&hellip;"
Opérateur de production/saisie polyvalent H/F Aubervilliers,Aubervilliers,EURO T.V.S,Non renseigné,"3,5","Au sein du service production d'une société de traitement de documents, vous serez chargé de la gestion des documents.&hellip;
Compétences: Logistique, Achats, Bureautique"
Serveur temps partiel ou temps plein,Clermont-Ferrand,LES BERTHOM,Non renseigné,"4,3","Je suis ouvert à des profils diversifiés, provenant de différents secteurs d'activités avec un leadership naturel, une énergie communicative et l’envie…&hellip;
Compétences: Service, Service client, Service en restauration, Service de bar"
Welcome Host (H/F),Archamps,Uxco Management,31 k € (fourni par l’employeur),"2,5","Vous êtes diplômé d’une formation dans l’hôtellerie ou l'immobilier. Le Welcome Host est en première ligne de l’accueil des résidents et visiteurs.&hellip;
Compétences: Service client, Anglais, Compétences en communication"
Conseiller Patrimonial MIA H/F,Charenton,Predictis,Non renseigné,"4,4","*Maîtrise du français *est indispensable. Il y a plusieurs types de commissionnement en fonction des produits proposés au client.&hellip;
Compétences: Français"
Equipier polyvalent,Chartres,BURGER KING,Non renseigné,"3,2","Etre Equipier , c’est délivrer le meilleur service possible à nos clients via un accueil irréprochable, la fabrication de nos produits, la rapidité de la vente…&hellip;"
Stagiaire assistant administratif chef de projet H/F,Télétravail,CA Consulting Group,"4,35 € Par heure (fourni par l’employeur)",Non noté,"Véritable soutien des chefs de projets, vous préparez et participez à toutes les étapes clés de la gestion de chaque projet, dossier et accompagnement clients.&hellip;
Compétences: Microsoft Powerpoint, Français, Anglais, Microsoft Office, Expérience administrative"
Polyvalent ligne de production H/F,Najac,STE PIERRE TOURNIER,Non renseigné,Non noté,"STE PIERRE TOURNIER est une entreprise située à sur la commune de Najac (12270). Nettoyage en fin de production et maintenance de base (graissage).&hellip;
Compétences: Chariot élévateur, Assemblage, Gestion d'équipe, Production"
Stage Formulation - Cosmétique solide (H/F),Villeneuve,SHP - Savonnerie de Haute Provence,660 € - 800 € (fourni par l’employeur),"4,5","Participer à l’élaboration de plans d’expériences pour l’optimisation des formules cosmétiques de l’échelle laboratoire à l’industrialisation ;&hellip;
Compétences: Procédures de laboratoire, Expérience en laboratoire, Bureautique"
Auditeur junior F/H,Marseille,KPMG,Non renseigné,"3,7","Participer à des missions d'audit en appliquant notre méthodologie (participer au contrôle interne, réaliser les tests d'audit sur l'ensemble des cycles,…&hellip;
Compétences: Service client"
Agent de conditionnement H/F en CDI,Laigné,PRESTALIM'S,2 k € (fourni par l’employeur),"4,0","Prise en charge à 100% du socle de la complémentaire santé par l'employeur. Bonne résistance au froid et bonne condition physique indispensables.&hellip;
Compétences: HACCP, Conditionnement, Production"
Technicien NOC / SOC Niveau 1,Dreux,IPSYLON,2 k € (fourni par l’employeur),Non noté,"Assurer le support technique de niveau 1 pour les utilisateurs (matériel, logiciel, réseau). *Excellentes capacités de communication et esprit d’équipe.*.&hellip;
Compétences: TCP, LAN, Anglais, DHCP, Virtualisation"
Technicien de contrôle qualité en CDD H/F,Dammarie-lès-Lys,guinot mary cohr,Non renseigné,Non noté,"Le Groupe bénéficie d’une présence internationale avec *17 000 Instituts* répartis dans *78 pays *à travers le monde, dont plus de *2 500 Instituts de Beauté en…&hellip;
Compétences: Français, Compétences rédactionnelles, Microsoft Office, Esprit d'analyse, Contrôle qualité"
Game Master H/F,Paris,L'Antichambre,2 k € (fourni par l’employeur),Non noté,"Chez nous, pas de statut auto-entrepreneur, CDD d’usage à répétition ou stagiaire. Rémunération* : *1824€ / mois base 35h *(1747,20€ brut/mois + Ticket…&hellip;
Compétences: Français, Informatique, Service client, Anglais, Technologies de l'information"
Serveur/Serveuse/Runneuse H/F,Arcis,HÔTEL RESTAURANT LE SAINT-HUBERT,Non renseigné,Non noté,"Collaborer avec l'équipe en cuisine pour assurer un service fluide. Une bonne maîtrise de l'anglais serait un plus pour communiquer avec une clientèle…&hellip;
Compétences: Service client, Anglais, Service en restauration, Services aux visiteurs, Restauration"
Technicien/ Préparateur Camping-cars H/F,Lescar,TOP LOISIRS,Non renseigné,Non noté,"Vous maîtrisez l'électricité automobile,. Poste à pourvoir dès que possible en 38H.&hellip;
Compétences: Électricité"
Conseiller(ère) patrimoniale H/F (MIA),Amiens,Capfinances,40 k € - 80 k € (fourni par l’employeur),"3,7","Nous vous offrons une formation délivrant la *capacité professionnelle ORIAS II* pour devenir conseiller en gestion de patrimoine indépendant.&hellip;
Compétences: Français, Gestion de patrimoine, Développement commercial, Gestion de portefeuille"
Standardiste H/F - 6 mois - La Couarde-sur-Mer,La Couarde,Beach Bikes,"12,00 € Par heure (fourni par l’employeur)","4,0","Vous avez le souhait de faire vivre une expérience 5\* à nos clients. Vous savez faire preuve d’esprit d’équipe. Contrat jusqu'au 31 octobre 2025.&hellip;
Compétences: Français, Service client, Anglais, Microsoft Office, Expérience administrative"
